extraction_row_id,source_page,raw_part_number,raw_designation,evidence_snippet,validation_status,review_decision_active,corrected_part_number,corrected_designation,rationale
76c86f84-e56c-482d-a429-06cc1df4b02e,2,"m2013.5","","m2013.5",REJECTED,"","","",""
a187d195-026c-49dc-936d-9d7a9ce4de6e,2,"HAMMEL Recyclingtechnik GmbH","","HAMMEL Recyclingtechnik GmbH",NEEDS_REVIEW,"","","",""
f26b826e-911a-41fd-a8b6-1872672518b2,2,"Chassis / Grundrahmen / Chassis / Base frame","","Chassis / Grundrahmen / Chassis / Base frame",NEEDS_REVIEW,"","","",""
c02dc566-e53b-4db1-9389-a956087af1bd,2,"2. Chassis / Grundrahmen / Chassis / Base frame","","2. Chassis / Grundrahmen / Chassis / Base frame",NEEDS_REVIEW,"","","",""
1ad63e0a-9b1d-4284-a7f7-db3985ce3bf7,2,"Stk.","","Stk.",REJECTED,"","","",""
3ee0e796-719d-4a14-8c95-32e22482de64,2,"Artikel","","Artikel",REJECTED,"","","",""
a6d11ed2-b966-4635-9f04-a9f4d36cc4fa,2,"Bezeichnung","","Bezeichnung",NEEDS_REVIEW,"","","",""
77435d6f-b823-4a57-b874-115109696508,2,"Article","","Article",REJECTED,"","","",""
9e1e59b0-cd6f-4003-9da2-7731cc6634d2,2,"1 Paar 1 pair","","1 Paar 1 pair",NEEDS_REVIEW,"","","",""
1b5583dc-26c6-4c5f-a64b-1c0927a4f1ba,2,"21926","","21926",REJECTED,"","","",""
d9e3bb4d-2665-4448-b0e9-03cb4983097f,2,"Kettenlaufwerk Tracked undercarriage","","Kettenlaufwerk Tracked undercarriage",NEEDS_REVIEW,"","","",""
0ffd158b-dd54-444c-a330-4ca2c2c4c036,2,"Typ / Zeichnungsnr. Type / Drawing no.","","Typ / Zeichnungsnr. Type / Drawing no.",NEEDS_REVIEW,"","","",""
d2159d4a-476b-424d-b8a3-44860f38e40c,2,"TRACK ONE T0150A168 / T0150A167","","TRACK ONE T0150A168 / T0150A167",NEEDS_REVIEW,"","","",""
d31a7bc4-6597-4ac7-8dce-6554fb43b85b,2,"1.1","","1.1",REJECTED,"","","",""
4e404661-d5aa-4577-a2b2-1956920b1b63,2,"1.2","","1.2",REJECTED,"","","",""
1227d136-3817-4475-ad32-c6525be2e5b2,2,"2.1","","2.1",REJECTED,"","","",""
97fe44e5-7541-4e48-82ae-f51b3a578b1b,2,"2.2","","2.2",REJECTED,"","","",""
b2916ad1-89e6-4bc5-9293-858ddd65a7b3,2,"Kettenlaufwerk Tracked undercarriage Fahrgetriebe rechts Gearbox right","","Kettenlaufwerk Tracked undercarriage Fahrgetriebe rechts Gearbox right",NEEDS_REVIEW,"","","",""
305cccd2-2717-4433-b985-4949bf39039b,2,"Motor rechts Motor right","","Motor rechts Motor right",NEEDS_REVIEW,"","","",""
3f41e0a7-bc87-42c5-8e6e-22ae458da4a5,2,"Kettenlaufwerk Tracked undercarriage Fahrgetriebe links Gearbox left Motor links Motor left","","Kettenlaufwerk Tracked undercarriage Fahrgetriebe links Gearbox left Motor links Motor left",NEEDS_REVIEW,"","","",""
04be9c44-923c-4c63-964b-a1b578e4d929,2,"21724 Kette","","21724 Kette",NEEDS_REVIEW,"","","",""
29917f94-8d55-4eb2-9eeb-c2f4200908dd,2,"Track chain","","Track chain",NEEDS_REVIEW,"","","",""
ce4d9c17-f750-488e-ab7b-9d7134ce039a,2,"T0150A168 PMP PMCI 2000CS","","T0150A168 PMP PMCI 2000CS",NEEDS_REVIEW,"","","",""
c6bf5e06-6838-4453-a33d-425b29ffb7c6,2,"PMH MI55","","PMH MI55",REJECTED,"","","",""
77df7c06-90fa-4313-9c3b-44ee48feba29,2,"T0150A167 PMP PMCI 2000CS PMH MI55","","T0150A167 PMP PMCI 2000CS PMH MI55",NEEDS_REVIEW,"","","",""
babf54c0-089d-4464-a62c-dbb04f19fd16,2,"400 mm Glieder / chain links: 59 Typ / Type: B1 (TO)","","400 mm Glieder / chain links: 59 Typ / Type: B1 (TO)",NEEDS_REVIEW,"","","",""
a3df6b7b-0301-4b99-959a-71a5f1f40b26,2,"1222","","1222",REJECTED,"","","",""
2379675a-653a-4214-8d59-468c368238ec,2,"Schnellwechselpolster","","Schnellwechselpolster",NEEDS_REVIEW,"","","",""
3232ea21-d336-4d89-97b6-9930f22c154c,2,"AL400","","AL400",REJECTED,"","","",""
42fd7be1-b007-4a75-b674-82d4fc021e76,2,"(Option)","","(Option)",REJECTED,"","","",""
36365b00-5b26-4686-80f8-db9ae6d7859c,2,"400 mm","","400 mm",REJECTED,"","","",""
b876deec-1ae5-4584-9a97-15cfb6053da1,2,"Quick-change pad (option)","","Quick-change pad (option)",NEEDS_REVIEW,"","","",""
e5f3d0a4-8488-47d7-91bc-c461d2003d77,2,"gummiert / rubberized Typ / Type: B1 (Uni)","","gummiert / rubberized Typ / Type: B1 (Uni)",NEEDS_REVIEW,"","","",""
656d0791-25eb-4d02-a070-44d2155456f9,2,"Bemerkung / Seriennummer Comment / serial number","","Bemerkung / Seriennummer Comment / serial number",NEEDS_REVIEW,"","","",""
6ec6e485-3e07-4ab2-9278-606fe86b9d56,2,"S/N 240123007 V S/N PP0585701 V S/N PP0585558 V S/N 240123003 V S/N PP0585705 V S/N PP0585556 V","","S/N 240123007 V S/N PP0585701 V S/N PP0585558 V S/N 240123003 V S/N PP0585705 V S/N PP0585556 V",NEEDS_REVIEW,"","","",""
e45cad5d-e1f2-4618-8e16-855adcd9833e,2,"inkl. 3-Steg-Bodenplatten","","inkl. 3-Steg-Bodenplatten",NEEDS_REVIEW,"","","",""
099c097c-3673-4379-8eca-f6f39e39ac5e,2,"incl. 3-bar base plates","","incl. 3-bar base plates",NEEDS_REVIEW,"","","",""
c2f99d44-24d3-47a1-8574-0f0f0f88e711,2,"nicht verbaut / not installed","","nicht verbaut / not installed",NEEDS_REVIEW,"","","",""
