Part_ID,Raw_Label,Raw_Part_Number,Promotion_Reason
e224bc7d-2883-448a-82c5-94fe9ce734ba,"Filtre aspiration-retour","SRA 3 SLP005","OFFICIAL_MANUFACTURER_CODE"
247054e4-aed2-4a9e-8c1e-15d46114a56a,"SRS Turbo-Rekord top FE 10W-40","18917","OFFICIAL_NUMERIC_PART_NUMBER"
d02c1ccf-4d5a-454f-b034-76f84d522416,"EVOFREEZE XX 12EVOX","21071","OFFICIAL_NUMERIC_PART_NUMBER"
ddd59e97-a2ab-4186-ac07-06b4c382f481,"Agip Blasia CLP 150","9388","OFFICIAL_NUMERIC_PART_NUMBER"
038109c5-4a26-4164-801b-21c1675a7a73,"Avia Fluid RSL 32","9409","OFFICIAL_NUMERIC_PART_NUMBER"
6cf78a91-7ba3-40e2-8d5d-2ef2baee3670,"Gazole ULSD","EN 590 / ASTM D975","MATCHES_ISO_DIN_STANDARD"
3a8ef6a3-f67a-4c59-a1e4-fa3a46cf0f34,"DEF (AdBlue)","ISO 22241-1","MATCHES_ISO_DIN_STANDARD"
